Файл	Сущность	Оффсет	Тип сущности	Окно±25
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	NCSLC	994 : 999	CM	  EGFR-mutation-positive NCSLC. However, patients on TK
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	TKIs	1022 : 1026	CM	LC. However, patients on TKIs eventually progress, and
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	T790M	1162 : 1167	CM	al mutation       called T790M. AC0010 may provide an e
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	AC0010	1169 : 1175	CM	tion       called T790M. AC0010 may provide an effective
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	AC0010	1316 : 1322	CM	l data demonstrated that AC0010 inhibits T790M. It      
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	T790M	1332 : 1337	CM	ted that AC0010 inhibits T790M. It       is anticipated
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	AC0010	1368 : 1374	CM	     is anticipated that AC0010 may promote cell death i
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	T790M	1422 : 1427	CM	 in tumor cells with the T790M mutation,       thus pro
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	T790M	1519 : 1524	CM	ients who have developed T790M-mediated       resistanc
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	TKIs	1563 : 1567	CM	  resistance to previous TKIs.        This is a two-pa
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	AC0010	1621 : 1627	CM	open-label study of oral AC0010 administered twice-daily
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	NSCLC	1681 : 1686	CM	previously       treated NSCLC patients who have docume
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	erlotinib	1831 : 1840	CM	n EGFR inhibitor such as erlotinib, gefitinib or       afat
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	gefitinib	1842 : 1851	CM	bitor such as erlotinib, gefitinib or       afatinib.      
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	afatinib	1861 : 1869	CM	inib, gefitinib or       afatinib.        This study will 
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	28-	1956 : 1959	CPR	e-escalation Period with 28-day cycles; Optional Trea
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	T790M	2109 : 2114	CM	n patients with the EGFR T790M mutation                
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	NSCLC	2368 : 2373	CM	     advanced, recurrent NSCLC.            -  At least 
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	MRI	2430 : 2433	CM	surable disease by CT or MRI, according to RECIST Ver
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	AC0010	2701 : 2707	CM	hin 28 days of dosing of AC0010, and have tissue availab
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	T790M	2826 : 2831	CM	especially the status of T790M.            -  Life expe
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	Erlotinib	3271 : 3280	CM	r at least 30 days (e.g. Erlotinib, or Gefitinib, or Afatin
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	Gefitinib	3285 : 3294	CM	days (e.g. Erlotinib, or Gefitinib, or Afatinib) with      
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	Afatinib	3299 : 3307	CM	otinib, or Gefitinib, or Afatinib) with              inter
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	Erlotinib	3434 : 3443	CM	n              EGFR TKI (Erlotinib, or Gefitinib) is at a m
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	Gefitinib	3448 : 3457	CM	 EGFR TKI (Erlotinib, or Gefitinib) is at a minimum of 7 da
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	EGFR	3538 : 3542	CM	         an irreversible EGFR inhibitor (Afatinib) and
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	Afatinib	3554 : 3562	CM	versible EGFR inhibitor (Afatinib) and chemotherapy is at 
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	EGFR	3653 : 3657	CM	oxicity related to prior EGFR inhibitor treatment must
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	NSCLC	3744 : 3749	CM	  or less.            -  NSCLC patients with asymptomat
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	EGFR	4131 : 4135	CM	disease related to prior EGFR inhibitor therapy.      
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	HCV	4272 : 4275	CM	          -  Positive to HCV or HIV antibody.        
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	AC0010	4510 : 4516	CM	atment              with AC0010.            -  Clinicall
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	12-	4564 : 4567	CPR	lly significant abnormal 12-lead ECG, QT interval cor
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	ECG	4572 : 4575	CM	ificant abnormal 12-lead ECG, QT interval corrected u
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	QT	4577 : 4579	CM	nt abnormal 12-lead ECG, QT interval corrected using
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	QTcF	4639 : 4643	CM	a's              method (QTcF) >450 msec (males) or >4
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	QT	4724 : 4726	CM	  Family history of long QT syndrome.            -  
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	AC0010	5396 : 5402	CM	minary Efficacy Study of AC0010 in Patients With EGFR T7
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	NSCLC	5440 : 5445	CM	With EGFR T790M Positive NSCLC               Safety, To
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	AC0010	5527 : 5533	CM	 Anti-tumour Activity of AC0010 in Patients With EGFR T7
./___Corpus/ClinicalTrials/xml/NCT02330367.xml	TKIs	5649 : 5653	CM	 Prior Therapy With EGFR TKIs     
./___Corpus/ClinicalTrials/xml/NCT02340611.xml	oxygen	605 : 611	CM	sels on the tumors bring oxygen and nutrients to the can
./___Corpus/ClinicalTrials/xml/NCT02340611.xml	adenosine diphosphate	809 : 830	CM	ing protein called poly [adenosine diphosphate-ribose] polymerase      
./___Corpus/ClinicalTrials/xml/NCT02340611.xml	ribose	831 : 837	CM	y [adenosine diphosphate-ribose] polymerase       (PARP)
./___Corpus/ClinicalTrials/xml/NCT02340611.xml	PARP	1099 : 1103	CM	damaged DNA. By blocking PARP from fixing damaged DNA,
./___Corpus/ClinicalTrials/xml/NCT02340611.xml	RECIST	1581 : 1587	CM	 disease progression per RECIST 1.1            -  Progre
./___Corpus/ClinicalTrials/xml/NCT02340611.xml	MUGA	1966 : 1970	CM	0% by echocardiograms or MUGA            -  Urine dips
./___Corpus/ClinicalTrials/xml/NCT02340611.xml	QTc	2361 : 2364	CM	tases            -  Mean QTc >470 msec (with Bazett's
./___Corpus/ClinicalTrials/xml/NCT02340611.xml	ECG	2415 : 2418	CM	correction) in screening ECG or history of familial  
./___Corpus/ClinicalTrials/xml/NCT02340611.xml	leukaemia	3345 : 3354	CM	c syndrome/acute myeloid leukaemia            -  Immuno-com
./___Corpus/ClinicalTrials/xml/NCT02340611.xml	Cediranib	3707 : 3716	CM	              A Study of Cediranib and Olaparib at the Time
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	Mitogen	115 : 122	CM	d/or       chemotherapy. Mitogen-activated protein kinase
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	MAPK	149 : 153	CM	ctivated protein kinase (MAPK) cascades are key signal
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	MAPK	308 : 312	CM	       Activation of p38 MAPK has been associated with
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	temozolomide	405 : 417	CM	 glioblastoma during the temozolomide (TMZ) era and represents
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	TMZ	419 : 422	CM	during the temozolomide (TMZ) era and represents a co
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	MAPK	606 : 610	CM	lective inhibitor of p38 MAPK, and reduces phosphoryla
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	phosphorylation	624 : 639	RN	of p38 MAPK, and reduces phosphorylation of its       cellular ta
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	MAPK	670 : 674	CM	s       cellular target, MAPK-activated protein kinase
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	MAPKAPK-2	703 : 712	CM	ivated protein kinase 2 (MAPKAPK-2) . LY2228820 is a good c
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	gold	797 : 801	CM	glioma resistance to the gold standard treatment combi
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	TMZ	851 : 854	CM	ning radiation and       TMZ by acting on both tumor 
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	TMZ	1020 : 1023	CM	n       combination with TMZ and radiotherapy during 
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	6-	1109 : 1111	CPR	nd to       estimate the 6-month progression free su
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	TMZ	1292 : 1295	CM	py and concomitant       TMZ (phase II)              
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	dL	1971 : 1973	CM	, hemoglobin > or = 10 g/dL ), renal (creatinine > o
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	creatinine	1984 : 1994	CM	> or = 10 g/dL ), renal (creatinine > or = 1.25 x           
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	ULN	2022 : 2025	CM	or = 1.25 x              ULN ), and hepatic function 
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	bilirubin	2057 : 2066	CM	 hepatic function (total bilirubin < or = 1.5 x ULN, aspart
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	ULN	2080 : 2083	CM	l bilirubin < or = 1.5 x ULN, aspartate              
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	aspartate	2085 : 2094	CM	irubin < or = 1.5 x ULN, aspartate              aminotransf
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	aminotransferase	2108 : 2124	CM	, aspartate              aminotransferase (AST) and alanine aminot
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	alanine	2135 : 2142	CM	inotransferase (AST) and alanine aminotransferase (ALT) <
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	aminotransferase	2143 : 2159	CM	ferase (AST) and alanine aminotransferase (ALT) < or = 2.5 x ULN) 
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	ALT	2161 : 2164	CM	lanine aminotransferase (ALT) < or = 2.5 x ULN)      
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	ULN	2179 : 2182	CM	erase (ALT) < or = 2.5 x ULN)            -  Patients 
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	carmustine	2943 : 2953	CM	 chemotherapy (including carmustine-containing wafers) or im
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	vaccine	3014 : 3021	CM	              (including vaccine therapy )            -  
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	temozolomide	3120 : 3132	CM	 Any contraindication to temozolomide listed in the local labe
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	CTCAE	3691 : 3696	CM	-  Diarrhea of any cause CTCAE > or = grade 2          
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	TMZ	4466 : 4469	CM	therapy Plus Concomitant TMZ in the Treatment of Newl
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	TMZ	4598 : 4601	CM	therapy Plus Concomitant TMZ in the Treatment of Newl
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	I-III	52 : 57	CM	andard of care for stage I-III HER2-positive breast can
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	ii	267 : 269	CM	of i) tumour downsizing, ii) higher breast       con
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	iii	315 : 318	CM	 conservation rates, and iii) enabling the evaluation
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	anti-HER2	579 : 588	CM	ion of neoadjuvant       anti-HER2 therapy to chemotherapy 
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	2-	626 : 628	CPR	hemotherapy results in a 2-3 fold increase in pCR ra
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	pCR	647 : 650	CM	n a 2-3 fold increase in pCR rates in operable       
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	lapatinib	879 : 888	CM	udy of       neoadjuvant lapatinib combined with weekly pac
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	carboplatin	922 : 933	CM	 with weekly paclitaxel/ carboplatin in stage I-III       HER
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	I-III	943 : 948	CM	el/ carboplatin in stage I-III       HER2-positive brea
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	ASLAN001	1123 : 1131	CM	fficacy/ toxicity ratio. ASLAN001 is a small       molecul
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	tyrosine	1158 : 1166	CM	s a small       molecule tyrosine kinase inhibitor against
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	HER1	1192 : 1196	CM	kinase inhibitor against HER1, HER2, and HER4. Preclin
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	HER2	1198 : 1202	CM	 inhibitor against HER1, HER2, and HER4. Preclinical d
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	HER4	1208 : 1212	CM	 against HER1, HER2, and HER4. Preclinical data have s
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	ASLAN001	1248 : 1256	CM	al data have shown       ASLAN001 to be more potent than l
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	lapatinib	1280 : 1289	CM	1 to be more potent than lapatinib and neratinib in inhibit
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	neratinib	1294 : 1303	CM	otent than lapatinib and neratinib in inhibiting HER1 and H
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	HER1	1318 : 1322	CM	 neratinib in inhibiting HER1 and HER2, and       earl
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	HER2	1327 : 1331	CM	b in inhibiting HER1 and HER2, and       early phase c
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	lapatinib	1472 : 1481	CM	t inhibition compared to lapatinib. Furthermore, ASLAN001 h
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	ASLAN001	1496 : 1504	CM	 lapatinib. Furthermore, ASLAN001 has demonstrated a bette
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	lapatinib	1557 : 1566	CM	     safety profile than lapatinib in early phase studies. 
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	ASLAN001	1635 : 1643	CM	igators hypothesize that ASLAN001 combined with paclitaxel
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	carboplatin	1669 : 1680	CM	combined with paclitaxel/carboplatin will       induce favora
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	I-III	1767 : 1772	CM	f at least 30%) in stage I-III HER2       positive brea
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	HER2	1773 : 1777	CM	east 30%) in stage I-III HER2       positive breast ca
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	lapatinib	1851 : 1860	CM	able safety profile than lapatinib combined with       pacl
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	carboplatin	1892 : 1903	CM	ed with       paclitaxel/carboplatin.                       B
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	globally[1]	2092 : 2103	CM	ojected to occur in 2030 globally[1]. Activation and       ov
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	trans-	2164 : 2170	CPR	on of oncogenes encoding trans-membrane receptor tyrosin
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	tyrosine	2188 : 2196	CM	 trans-membrane receptor tyrosine kinases of the       epi
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	ErbB1	2276 : 2281	CM	(EGFR) family, including ErbB1 (also known as HER1/EGFR
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	HER1	2297 : 2301	CM	ing ErbB1 (also known as HER1/EGFR) and       ErbB2 (a
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	ErbB2	2318 : 2323	CM	 as HER1/EGFR) and       ErbB2 (also known as human epi
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	HER2	2383 : 2387	CM	wth factor receptor 2 or HER2), play an important     
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	HER2	2474 : 2478	CM	ancer. Overexpression of HER2 has been shown to be a p
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	HER2	2686 : 2690	CM	 been developed to block HER2 signaling       pathways
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	HER2	2888 : 2892	CM	ular       domain of the HER2 protein. Treatment with 
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	HER2	2971 : 2975	CM	omes of women with       HER2 over-expressing early st
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	I-III	3092 : 3097	CM	andard of care for stage I-III HER2-positive breast can
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	40-	3230 : 3233	CPR	y [5]. This results in a 40-50% improvement in 5-    
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	5-	3253 : 3255	CPR	a 40-50% improvement in 5-       year disease-free s
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	5-	3318 : 3320	CPR	, and 30% improvement in 5-year overall survival (OS
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	anti-HER2	4328 : 4337	CM	singly important role of anti-HER2 therapy in both       ea
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	2-	4679 : 4681	CPR	 reported to result in a 2-3 fold increase in pCR ra
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	pCR	4700 : 4703	CM	n a 2-3 fold increase in pCR rates in operable HER2-p
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	carboplatin	4965 : 4976	CM	kly paclitaxel and       carboplatin in combination with lapa
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	lapatinib	4997 : 5006	CM	atin in combination with lapatinib in patients with stage I
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	I-III	5030 : 5035	CM	b in patients with stage I-III HER2-positive breast    
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	transaminitis	5576 : 5589	CM	nic infections (25%) and transaminitis (22.8%) [19]. ASLAN001 i
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	ASLAN001	5604 : 5612	CM	nsaminitis (22.8%) [19]. ASLAN001 is a small molecule     
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	tyrosine	5639 : 5647	CM	s a small molecule       tyrosine kinase inhibitor against
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	HER1	5673 : 5677	CM	kinase inhibitor against HER1, HER2, and HER4.        
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	HER2	5679 : 5683	CM	 inhibitor against HER1, HER2, and HER4.        Precli
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	HER4	5689 : 5693	CM	 against HER1, HER2, and HER4.        Preclinical data
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	ASLAN001	5730 : 5738	CM	clinical data have shown ASLAN001 to be more potent than l
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	lapatinib	5762 : 5771	CM	1 to be more potent than lapatinib and neratinib in       i
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	neratinib	5776 : 5785	CM	otent than lapatinib and neratinib in       inhibiting HER1
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	HER1	5806 : 5810	CM	inib in       inhibiting HER1 and HER2, and early phas
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	HER2	5815 : 5819	CM	     inhibiting HER1 and HER2, and early phase clinica
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	lapatinib	5954 : 5963	CM	t inhibition compared to lapatinib. Furthermore,       ASLA
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	ASLAN001	5984 : 5992	CM	inib. Furthermore,       ASLAN001 has demonstrated a bette
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	lapatinib	6039 : 6048	CM	tter safety profile than lapatinib in early phase studies. 
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	ASLAN001	6124 : 6132	CM	the novel combination of ASLAN001 with weekly paclitaxel/c
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	carboplatin	6156 : 6167	CM	1 with weekly paclitaxel/carboplatin will       induce favora
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	I-III	6254 : 6259	CM	f at least 30%) in stage I-III HER2       positive brea
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	HER2	6260 : 6264	CM	east 30%) in stage I-III HER2       positive breast ca
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	lapatinib	6338 : 6347	CM	able safety profile than lapatinib combined with       pacl
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	carboplatin	6379 : 6390	CM	ed with       paclitaxel/carboplatin. All patients will recei
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	anthracycline	6479 : 6492	CM	wing       completion of anthracycline-containing chemotherapy 
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	oBilirubin	6997 : 7007	CM	       Hepatic:          oBilirubin ≤ 1.5 x upper limit of n
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	ULN	7039 : 7042	CM	x upper limit of normal (ULN), oALT and AST ≤ 2.5x UL
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	oALT	7045 : 7049	CM	r limit of normal (ULN), oALT and AST ≤ 2.5x ULN      
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	AST	7054 : 7057	CM	f normal (ULN), oALT and AST ≤ 2.5x ULN          Rena
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	creatinine	7106 : 7116	CM	al:          oCalculated creatinine clearance >30ml/minute  
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	MUGA	7217 : 7221	CM	% measured by 2D echo or MUGA            -  Signed inf
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	carboplatin	7786 : 7797	CM	 with weekly paclitaxel/ carboplatin is         indicated, as
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	T1-4	7968 : 7972	CM	 carcinoma            -  T1-4 breast cancer with measu
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	HER2	8234 : 8238	CM	m            -  Tumor is HER2 positive either by IHC (
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	FISH	8270 : 8274	CM	ve either by IHC (3+) or FISH amplification (amplifica
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	LVEF	8929 : 8933	CM	or systolic dysfunction (LVEF <50%)         oHigh-risk
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	AV	9021 : 9023	CM	 tachycardia, high-grade AV block,         supravent
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	BP	9268 : 9270	CM	ertension (e.g. systolic BP > 180mmHg or diastolic >
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	anti-	9897 : 9902	CPR	         •Treatment with anti-tumour therapy, defined a
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	ASLAN001	10315 : 10323	CM	se-confirmation Study of ASLAN001 Combined With Weekly Pac
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	Carboplatin	10360 : 10371	CM	th Weekly Paclitaxel and Carboplatin in Advanced Solid Tumour
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	I-III	10442 : 10447	CM	y in Patients With Stage I-III HER2 Positive Breast Can
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	HER2	10448 : 10452	CM	atients With Stage I-III HER2 Positive Breast Cancer  
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	ASLAN001	10526 : 10534	CM	se-confirmation Study of ASLAN001 Combined With Weekly Pac
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	Carboplatin	10571 : 10582	CM	th Weekly Paclitaxel and Carboplatin in Advanced Solid Tumour
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	I-III	10674 : 10679	CM	y in Patients With Stage I-III HER2 Positive Breast Can
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	HER2	10680 : 10684	CM	atients With Stage I-III HER2 Positive Breast Cancer  
./___Corpus/ClinicalTrials/xml/NCT02424617.xml	BGB324	58 : 64	CM	nter open-label study of BGB324 in combination with erlo
./___Corpus/ClinicalTrials/xml/NCT02424617.xml	erlotinib	85 : 94	CM	B324 in combination with erlotinib in patients       with S
./___Corpus/ClinicalTrials/xml/NCT02424617.xml	IIIb	124 : 128	CM	atients       with Stage IIIb or Stage IV non-small ce
./___Corpus/ClinicalTrials/xml/NCT02424617.xml	BGB324	169 : 175	CM	-small cell lung cancer. BGB324 is a potent selective sm
./___Corpus/ClinicalTrials/xml/NCT02424617.xml	IIIb	604 : 608	CM	ogically-confirmed Stage IIIb or       Stage IV non-sm
./___Corpus/ClinicalTrials/xml/NCT02424617.xml	BGB324	667 : 673	CM	lung cancer will receive BGB324 as a single agent (Run-i
./___Corpus/ClinicalTrials/xml/NCT02424617.xml	erlotinib	751 : 760	CM	) or in combination with erlotinib (Arms A, B, C).        R
./___Corpus/ClinicalTrials/xml/NCT02424617.xml	BGB324	839 : 845	CM	fety and tolerability of BGB324 administered as a single
./___Corpus/ClinicalTrials/xml/NCT02424617.xml	BGB324	884 : 890	CM	as a single agent.       BGB324 will be administered at 
./___Corpus/ClinicalTrials/xml/NCT02424617.xml	BGB324	1135 : 1141	CM	be opened to confirm the BGB324 to be used in combinatio
./___Corpus/ClinicalTrials/xml/NCT02424617.xml	erlotinib	1179 : 1188	CM	n combination       with erlotinib.        In Arm A the dos
./___Corpus/ClinicalTrials/xml/NCT02424617.xml	BGB324	1218 : 1224	CM	    In Arm A the dose of BGB324 will be escalated in a s
./___Corpus/ClinicalTrials/xml/NCT02424617.xml	erlotinib	1317 : 1326	CM	   combination ( BGB324+ erlotinib) is established. The dos
./___Corpus/ClinicalTrials/xml/NCT02424617.xml	BGB324	1356 : 1362	CM	established. The dose of BGB324 to be investigated in ar
