Файл	Сущность	Оффсет	Тип сущности	Окно±25
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	LY2228820	984 : 993	CM	 the recommended dose of LY2228820 in       combination wit
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	TMZ	1020 : 1023	CM	n       combination with TMZ and radiotherapy during 
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	I	1080 : 1081	CM	diotherapy period (phase I) and to       estimate t
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	6-	1109 : 1111	CPR	nd to       estimate the 6-month progression free su
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	PFS	1144 : 1147	CM	ogression free survival (PFS) rate of patients treate
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	LY2228820	1179 : 1188	CM	of patients treated with LY2228820       when administered 
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	TMZ	1292 : 1295	CM	py and concomitant       TMZ (phase II)              
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	formalin	1638 : 1646	CM	ent must have at least 1 formalin fixed paraffin embedded 
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	creatinine	1984 : 1994	CM	> or = 10 g/dL ), renal (creatinine > or = 1.25 x           
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	ULN	2022 : 2025	CM	or = 1.25 x              ULN ), and hepatic function 
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	bilirubin	2057 : 2066	CM	 hepatic function (total bilirubin < or = 1.5 x ULN, aspart
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	ULN	2080 : 2083	CM	l bilirubin < or = 1.5 x ULN, aspartate              
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	aspartate	2085 : 2094	CM	irubin < or = 1.5 x ULN, aspartate              aminotransf
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	aminotransferase	2108 : 2124	ASE	, aspartate              aminotransferase (AST) and alanine aminot
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	alanine	2135 : 2142	CM	inotransferase (AST) and alanine aminotransferase (ALT) <
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	aminotransferase	2143 : 2159	ASE	ferase (AST) and alanine aminotransferase (ALT) < or = 2.5 x ULN) 
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	ULN	2179 : 2182	CM	erase (ALT) < or = 2.5 x ULN)            -  Patients 
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	carmustine	2943 : 2953	CM	 chemotherapy (including carmustine-containing wafers) or im
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	temozolomide	3120 : 3132	CM	 Any contraindication to temozolomide listed in the local labe
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	LY2228820	3511 : 3520	CM	           investigating LY2228820            -  Are receiv
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	LY2228820	4421 : 4430	CM	                Study of LY2228820 With Radiotherapy Plus C
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	TMZ	4466 : 4469	CM	therapy Plus Concomitant TMZ in the Treatment of Newl
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	I	4539 : 4540	CM	toma               Phase I/II Study of LY2228820 Wi
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	LY2228820	4553 : 4562	CM	     Phase I/II Study of LY2228820 With Radiotherapy Plus C
./___Corpus/ClinicalTrials/xml/NCT02364206.xml	TMZ	4598 : 4601	CM	therapy Plus Concomitant TMZ in the Treatment of Newl
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	anti-HER2	579 : 588	CM	ion of neoadjuvant       anti-HER2 therapy to chemotherapy 
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	2-	626 : 628	CPR	hemotherapy results in a 2-3 fold increase in pCR ra
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	lapatinib	879 : 888	CM	udy of       neoadjuvant lapatinib combined with weekly pac
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	carboplatin	922 : 933	CM	 with weekly paclitaxel/ carboplatin in stage I-III       HER
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	tyrosine	1158 : 1166	CM	s a small       molecule tyrosine kinase inhibitor against
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	kinase	1167 : 1173	ASE	       molecule tyrosine kinase inhibitor against HER1, 
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	lapatinib	1280 : 1289	CM	1 to be more potent than lapatinib and neratinib in inhibit
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	neratinib	1294 : 1303	CM	otent than lapatinib and neratinib in inhibiting HER1 and H
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	lapatinib	1472 : 1481	CM	t inhibition compared to lapatinib. Furthermore, ASLAN001 h
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	lapatinib	1557 : 1566	CM	     safety profile than lapatinib in early phase studies. 
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	carboplatin	1669 : 1680	CM	combined with paclitaxel/carboplatin will       induce favora
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	lapatinib	1851 : 1860	CM	able safety profile than lapatinib combined with       pacl
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	carboplatin	1892 : 1903	CM	ed with       paclitaxel/carboplatin.                       B
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	globally[1]	2092 : 2103	CM	ojected to occur in 2030 globally[1]. Activation and       ov
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	trans-	2164 : 2170	CPR	on of oncogenes encoding trans-membrane receptor tyrosin
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	tyrosine	2188 : 2196	CM	 trans-membrane receptor tyrosine kinases of the       epi
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	kinases	2197 : 2204	ASE	mbrane receptor tyrosine kinases of the       epidermal g
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	ErbB1	2276 : 2281	CM	(EGFR) family, including ErbB1 (also known as HER1/EGFR
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	ErbB2	2318 : 2323	CM	 as HER1/EGFR) and       ErbB2 (also known as human epi
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	[5]	3207 : 3210	CM	stuzumab to chemotherapy [5]. This results in a 40-50
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	40-	3230 : 3233	CPR	y [5]. This results in a 40-50% improvement in 5-    
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	5-	3253 : 3255	CPR	a 40-50% improvement in 5-       year disease-free s
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	DFS	3289 : 3292	CM	r disease-free survival (DFS), and 30% improvement in
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	5-	3318 : 3320	CPR	, and 30% improvement in 5-year overall survival (OS
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	[15]	3589 : 3593	CM	able breast       cancer [15]. Randomised trials compa
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	anti-HER2	4328 : 4337	CM	singly important role of anti-HER2 therapy in both       ea
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	2-	4679 : 4681	CPR	 reported to result in a 2-3 fold increase in pCR ra
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	[18]	4756 : 4760	CM	tive       breast cancer [18].        However, the opt
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	carboplatin	4965 : 4976	CM	kly paclitaxel and       carboplatin in combination with lapa
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	lapatinib	4997 : 5006	CM	atin in combination with lapatinib in patients with stage I
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	transaminitis	5576 : 5589	CM	nic infections (25%) and transaminitis (22.8%) [19]. ASLAN001 i
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	[19]	5598 : 5602	CM	nd transaminitis (22.8%) [19]. ASLAN001 is a small mol
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	tyrosine	5639 : 5647	CM	s a small molecule       tyrosine kinase inhibitor against
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	kinase	5648 : 5654	ASE	 molecule       tyrosine kinase inhibitor against HER1, 
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	lapatinib	5762 : 5771	CM	1 to be more potent than lapatinib and neratinib in       i
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	neratinib	5776 : 5785	CM	otent than lapatinib and neratinib in       inhibiting HER1
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	lapatinib	5954 : 5963	CM	t inhibition compared to lapatinib. Furthermore,       ASLA
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	lapatinib	6039 : 6048	CM	tter safety profile than lapatinib in early phase studies. 
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	carboplatin	6156 : 6167	CM	1 with weekly paclitaxel/carboplatin will       induce favora
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	lapatinib	6338 : 6347	CM	able safety profile than lapatinib combined with       pacl
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	carboplatin	6379 : 6390	CM	ed with       paclitaxel/carboplatin. All patients will recei
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	anthracycline	6479 : 6492	CM	wing       completion of anthracycline-containing chemotherapy 
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	oBilirubin	6997 : 7007	CM	       Hepatic:          oBilirubin ≤ 1.5 x upper limit of n
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	ULN	7039 : 7042	CM	x upper limit of normal (ULN), oALT and AST ≤ 2.5x UL
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	ULN	7065 : 7068	CM	LN), oALT and AST ≤ 2.5x ULN          Renal:         
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	creatinine	7106 : 7116	CM	al:          oCalculated creatinine clearance >30ml/minute  
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	I	7700 : 7701	CM	       Specific to phase I:          •Any patient w
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	carboplatin	7786 : 7797	CM	 with weekly paclitaxel/ carboplatin is         indicated, as
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	IHC	8258 : 8261	CM	 HER2 positive either by IHC (3+) or FISH amplificati
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	FISH	8270 : 8274	CM	ve either by IHC (3+) or FISH amplification (amplifica
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	BP	9268 : 9270	CM	ertension (e.g. systolic BP > 180mmHg or diastolic >
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	I	9869 : 9870	CM	       Specific to phase I:          •Treatment wit
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	anti-	9897 : 9902	CPR	         •Treatment with anti-tumour therapy, defined a
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	I	10129 : 10130	CM	ncer            -  Stage I breast cancer with prima
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	Carboplatin	10360 : 10371	CM	th Weekly Paclitaxel and Carboplatin in Advanced Solid Tumour
./___Corpus/ClinicalTrials/xml/NCT02396108.xml	Carboplatin	10571 : 10582	CM	th Weekly Paclitaxel and Carboplatin in Advanced Solid Tumour
./___Corpus/ClinicalTrials/xml/NCT02424617.xml	I	21 : 22	CM	             A Phase I/2 multi-center open-labe
./___Corpus/ClinicalTrials/xml/NCT02424617.xml	erlotinib	85 : 94	CM	B324 in combination with erlotinib in patients       with S
./___Corpus/ClinicalTrials/xml/NCT02424617.xml	kinase	264 : 270	ASE	surface membrane protein kinase receptor which is connec
./___Corpus/ClinicalTrials/xml/NCT02424617.xml	I	434 : 435	CM	lti-arm open-label Phase I/2 study that will be con
./___Corpus/ClinicalTrials/xml/NCT02424617.xml	erlotinib	751 : 760	CM	) or in combination with erlotinib (Arms A, B, C).        R
./___Corpus/ClinicalTrials/xml/NCT02424617.xml	erlotinib	1179 : 1188	CM	n combination       with erlotinib.        In Arm A the dos
./___Corpus/ClinicalTrials/xml/NCT02424617.xml	erlotinib	1317 : 1326	CM	   combination ( BGB324+ erlotinib) is established. The dos
./___Corpus/ClinicalTrials/xml/NCT02424617.xml	erlotinib	1560 : 1569	CM	B324 in combination with erlotinib.                        
./___Corpus/ClinicalTrials/xml/NCT02424617.xml	NSCLC	1823 : 1828	CM	resectable)              NSCLC            -  Eastern Co
./___Corpus/ClinicalTrials/xml/NCT02424617.xml	erlotinib	2021 : 2030	CM	   -  Has been receiving erlotinib for treatment of NSCLC w
./___Corpus/ClinicalTrials/xml/NCT02424617.xml	NSCLC	2048 : 2053	CM	lotinib for treatment of NSCLC with erlotinib-related t
./___Corpus/ClinicalTrials/xml/NCT02424617.xml	erlotinib	2059 : 2068	CM	 treatment of NSCLC with erlotinib-related toxicities      
./___Corpus/ClinicalTrials/xml/NCT02424617.xml	histamine	3497 : 3506	CM	th any of the following: histamine receptor two inhibitors,
./___Corpus/ClinicalTrials/xml/NCT02424617.xml	myocardial	3701 : 3711	CM	 cardiac event including myocardial infarction within 3 mont
./___Corpus/ClinicalTrials/xml/NCT02424617.xml	NSCLC	3781 : 3786	CM	tudy entry            -  NSCLC with evidence of a centr
./___Corpus/ClinicalTrials/xml/NCT02424617.xml	NSCLC	4130 : 4135	CM	non-cytotoxic agents for NSCLC in the preceding ten day
./___Corpus/ClinicalTrials/xml/NCT02424617.xml	Erlotinib	4669 : 4678	CM	B324 in Combination With Erlotinib in Patients With Non-Sma
./___Corpus/ClinicalTrials/xml/NCT02424617.xml	I	4769 : 4770	CM	-Center Open-Label Phase I/2 Study of BGB324 in Com
./___Corpus/ClinicalTrials/xml/NCT02424617.xml	Erlotinib	4809 : 4818	CM	B324 in Combination With Erlotinib in Patients With Stage I
./___Corpus/ClinicalTrials/xml/NCT02430363.xml	PD	69 : 71	CM	ion of MK-3475 activated PD -1 negatively regulates 
./___Corpus/ClinicalTrials/xml/NCT02430363.xml	PI3K	163 : 167	CM	ppression of the path of PI3K / Akt.        This study
./___Corpus/ClinicalTrials/xml/NCT02430363.xml	PI3K	247 : 251	CM	ss of oral inhibitors of PI3K / Akt pathway in       c
./___Corpus/ClinicalTrials/xml/NCT02430363.xml	PI3K	1116 : 1120	CM	suppression of the       PI3K/Akt pathway.        This
./___Corpus/ClinicalTrials/xml/NCT02430363.xml	PI3K	1206 : 1210	CM	ss of oral inhibitors of PI3K / Akt pathway in       c
./___Corpus/ClinicalTrials/xml/NCT02430363.xml	temozolomide	1714 : 1726	CM	t least radiotherapy and temozolomide            -  Be at firs
./___Corpus/ClinicalTrials/xml/NCT02430363.xml	Be	1741 : 1743	CM	mozolomide            -  Be at first or second relap
./___Corpus/ClinicalTrials/xml/NCT02430363.xml	temozolomide	2776 : 2788	CM	ommon after therapy with temozolomide).            -  From the
./___Corpus/ClinicalTrials/xml/NCT02430363.xml	temozolomide	3028 : 3040	CM	rapy (except 23 days for temozolomide and 6 weeks from nitroso
./___Corpus/ClinicalTrials/xml/NCT02430363.xml	nitrosoureas	3058 : 3070	CM	olomide and 6 weeks from nitrosoureas), 6 weeks from          
./___Corpus/ClinicalTrials/xml/NCT02430363.xml	anti-	3173 : 3178	CPR	r is shorter) from other anti-tumor              therap
./___Corpus/ClinicalTrials/xml/NCT02430363.xml	dexamethasone	3853 : 3866	CM	rticosteroids defined as dexamethasone >              4 mg/day 
./___Corpus/ClinicalTrials/xml/NCT02430363.xml	warfarin	4263 : 4271	CM	tic anticoagulation with warfarin at baseline; patients mu
./___Corpus/ClinicalTrials/xml/NCT02430363.xml	warfarin	4319 : 4327	CM	must be off              warfarin or warfarin-derivative a
./___Corpus/ClinicalTrials/xml/NCT02430363.xml	warfarin	4331 : 4339	CM	             warfarin or warfarin-derivative anti-coagulan
./___Corpus/ClinicalTrials/xml/NCT02430363.xml	anti-	4351 : 4356	CPR	n or warfarin-derivative anti-coagulants for at least 7
./___Corpus/ClinicalTrials/xml/NCT02430363.xml	anti-angiogenic	6815 : 6830	CJ	         -  Has received anti-angiogenic or anti-VEGF targeted ag
./___Corpus/ClinicalTrials/xml/NCT02430363.xml	anti-	6834 : 6839	CPR	eived anti-angiogenic or anti-VEGF targeted agents (e.g
./___Corpus/ClinicalTrials/xml/NCT02430363.xml	cediranib	6892 : 6901	CM	evacizumab,              cediranib, aflibercept, vandetanib
./___Corpus/ClinicalTrials/xml/NCT02430363.xml	vandetanib	6916 : 6926	CM	 cediranib, aflibercept, vandetanib, XL-184, sunitinib, etc)
./___Corpus/ClinicalTrials/xml/NCT02430363.xml	sunitinib	6936 : 6945	CM	ept, vandetanib, XL-184, sunitinib, etc)            -  Has 
./___Corpus/ClinicalTrials/xml/NCT02430363.xml	PI3K	7720 : 7724	CM	h The Suppression Of The PI3K/Akt Pathway In Compared 
./___Corpus/ClinicalTrials/xml/NCT02430363.xml	In	7737 : 7739	CM	 Of The PI3K/Akt Pathway In Compared With MK-3475   
./___Corpus/ClinicalTrials/xml/NCT02430363.xml	PI3K	7896 : 7900	CM	h The Suppression Of The PI3K/Akt Pathway In Compared 
./___Corpus/ClinicalTrials/xml/NCT02430363.xml	In	7913 : 7915	CM	 Of The PI3K/Akt Pathway In Compared With MK-3475 (P
./___Corpus/ClinicalTrials/xml/NCT02432417.xml	30-	576 : 579	CPR	(EGFRvIII) is present in 30-50% of GBM.        Previo
./___Corpus/ClinicalTrials/xml/NCT02432417.xml	hypoxic	960 : 967	CJ	oxia, reduces the viable hypoxic fraction in       tumors
./___Corpus/ClinicalTrials/xml/NCT02432417.xml	Chloroquine	1068 : 1079	CM	s to irradiation.        Chloroquine (CQ) is a potent autopha
./___Corpus/ClinicalTrials/xml/NCT02432417.xml	CQ	1081 : 1083	CM	ion.        Chloroquine (CQ) is a potent autophagy b
./___Corpus/ClinicalTrials/xml/NCT02432417.xml	CQ	1210 : 1212	CM	reviously, the effect of CQ has been demonstrated in
./___Corpus/ClinicalTrials/xml/NCT02432417.xml	carmustine	1317 : 1327	CM	ed with radiotherapy and carmustine. Although not statistica
./___Corpus/ClinicalTrials/xml/NCT02432417.xml	CQ	1475 : 1477	CM	      patients receiving CQ as in patients receiving
./___Corpus/ClinicalTrials/xml/NCT02432417.xml	CQ	1541 : 1543	CM	intracellular effects of CQ are       dose-dependent
./___Corpus/ClinicalTrials/xml/NCT02432417.xml	CQ	1630 : 1632	CM	ncrease in daily dose of CQ may be       necessary. 
./___Corpus/ClinicalTrials/xml/NCT02432417.xml	CQ	1689 : 1691	CM	more, the combination of CQ with TMZ may induce more
./___Corpus/ClinicalTrials/xml/NCT02432417.xml	I	1775 : 1776	CM	lls.        In the phase I part of this trial the r
./___Corpus/ClinicalTrials/xml/NCT02432417.xml	CQ	1820 : 1822	CM	 the recommended dose of CQ in combination with radi
./___Corpus/ClinicalTrials/xml/NCT02432417.xml	temozolomide	1866 : 1878	CM	h radiotherapy       and temozolomide will be tested. In the p
./___Corpus/ClinicalTrials/xml/NCT02432417.xml	temozolomide	2075 : 2087	CM	urrent radiotherapy with temozolomide and adjuvant temozolomid
./___Corpus/ClinicalTrials/xml/NCT02432417.xml	temozolomide	2101 : 2113	CM	emozolomide and adjuvant temozolomide (arm A) and standard    
./___Corpus/ClinicalTrials/xml/NCT02432417.xml	CQ	2156 : 2158	CM	ard       treatment plus CQ (arm B).                
./___Corpus/ClinicalTrials/xml/NCT02432417.xml	temozolomide	2624 : 2636	CM	rgin in combination with temozolomide 75 mg/m² per os daily (p
./___Corpus/ClinicalTrials/xml/NCT02432417.xml	temozolomide	2700 : 2712	CM	d six adjuvant cycles of temozolomide 150 - 200 mg/m² po qd.  
./___Corpus/ClinicalTrials/xml/NCT02432417.xml	CQ	2851 : 2853	CM	ly intake       of 400mg CQ. CQ will start with one 
./___Corpus/ClinicalTrials/xml/NCT02432417.xml	CQ	2855 : 2857	CM	ntake       of 400mg CQ. CQ will start with one week
./___Corpus/ClinicalTrials/xml/NCT02432417.xml	3-[18F]fluoro	3129 : 3142	CM	e invited to receive two 3-[18F]fluoro-       2-(4-((2-nitro-1H
./___Corpus/ClinicalTrials/xml/NCT02432417.xml	3-	3142 : 3144	CPR	receive two 3-[18F]fluoro-       2-(4-((2-nitro-1H-i
./___Corpus/ClinicalTrials/xml/NCT02432417.xml	2-(4-((2-nitro-1H-imidazol-1-yl)methyl)-1H-1,2,3-triazol-1	3150 : 3208	CM	two 3-[18F]fluoro-       2-(4-((2-nitro-1H-imidazol-1-yl)methyl)-1H-1,2,3-triazol-1- yl)propan-1-ol PET-scan
./___Corpus/ClinicalTrials/xml/NCT02432417.xml	2-	3208 : 3210	CPR	ethyl)-1H-1,2,3-triazol-1- yl)propan-1-ol PET-scans 
./___Corpus/ClinicalTrials/xml/NCT02432417.xml	yl)propan-1-ol	3210 : 3224	CM	hyl)-1H-1,2,3-triazol-1- yl)propan-1-ol PET-scans       ([18F]HX
./___Corpus/ClinicalTrials/xml/NCT02432417.xml	[18F]HX4	3242 : 3250	CM	an-1-ol PET-scans       ([18F]HX4 ). The first on day -6 (
./___Corpus/ClinicalTrials/xml/NCT02432417.xml	CQ	3281 : 3283	CM	e first on day -6 (start CQ), the second on day 0 (b
./___Corpus/ClinicalTrials/xml/NCT02432417.xml	IDH	3475 : 3478	CM	ratentorial astrocytoma, IDH wildtype              (g
